"","ccode","year","warl","onset","gdpenl","lpopl1","lmtnest","Oil","ncontig","ethfrac","relfrac","nwstate","polity2l","instab","ccodeyear","totalwars","everwar"
"1271",165,1985,0,0,3.95199990272522,8.00269412994385,0,0,0,0.198162496089935,0.350799977779388,0,-7,0,1651985,0,0
"1272",165,1986,0,0,3.96900010108948,8.00903034210205,0,0,0,0.198162496089935,0.350799977779388,0,9,1,1651986,0,0
"1273",165,1987,0,0,4.31599998474121,8.01466655731201,0,0,0,0.198162496089935,0.350799977779388,0,9,1,1651987,0,0
"1274",165,1988,0,0,4.76700019836426,8.02027034759521,0,0,0,0.198162496089935,0.350799977779388,0,9,1,1651988,0,0
"1275",165,1989,0,0,4.68699979782104,8.0261697769165,0,0,0,0.198162496089935,0.350799977779388,0,9,0,1651989,0,0
"1276",165,1990,0,0,4.67600011825562,8.03171062469482,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651990,0,0
"1277",165,1991,0,0,4.60200023651123,8.0372200012207,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651991,0,0
"1278",165,1992,0,0,4.76599979400635,8.0430212020874,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651992,0,0
"1279",165,1993,0,0,5.18499994277954,8.04878807067871,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651993,0,0
"1280",165,1994,0,0,5.28399991989136,8.06182098388672,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651994,0,0
"1281",165,1995,0,0,5.6269998550415,8.06922054290771,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651995,0,0
"1282",165,1996,0,0,5.50600004196167,8.07651519775391,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651996,0,0
"1283",165,1997,0,0,5.76999998092651,8.08384418487549,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651997,0,0
"1284",165,1998,0,0,6.00799989700317,8.09134006500244,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651998,0,0
"1285",165,1999,0,0,6.23899984359741,8.09879493713379,0,0,0,0.198162496089935,0.350799977779388,0,10,0,1651999,0,0
"1286",200,1945,0,0,4.6710000038147,10.8018178939819,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001945,1,1
"1287",200,1946,0,0,4.6710000038147,10.8018178939819,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001946,1,1
"1288",200,1947,0,0,4.77500009536743,10.8067331314087,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001947,1,1
"1289",200,1948,0,0,4.92999982833862,10.8133172988892,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001948,1,1
"1290",200,1949,0,0,5.07600021362305,10.8213768005371,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001949,1,1
"1291",200,1950,0,0,5.17700004577637,10.8293724060059,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001950,1,1
"1292",200,1951,0,0,5.39499998092651,10.8319835662842,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001951,1,1
"1293",200,1952,0,0,5.58199977874756,10.8342723846436,0.587786674499512,0,1,0.325454533100128,0.61379998922348,0,10,0,2001952,1,1
